date,value
2016-05-09,1201
2016-05-10,2323
2016-05-11,2513
2016-05-12,3081
2016-05-13,3049
2016-05-14,2599
2016-05-15,1842
2016-05-16,1711
2016-05-17,1862
2016-05-18,2119
2016-05-19,2546
2016-05-20,2647
2016-05-21,2135
2016-05-22,1947
2016-05-23,1911
2016-05-24,1891
2016-05-25,2086
2016-05-26,2396
2016-05-27,2770
2016-05-28,2254
2016-05-29,2069
2016-05-30,1945
2016-05-31,2244
2016-06-01,2381
2016-06-02,2719
2016-06-03,2629
2016-06-04,2316
2016-06-05,1812
2016-06-06,1981
2016-06-07,2162
2016-06-08,2294
2016-06-09,2428
2016-06-10,2710
2016-06-11,2252
2016-06-12,2036
2016-06-13,2144
2016-06-14,2331
2016-06-15,2551
2016-06-16,2631
2016-06-17,2692
2016-06-18,2212
2016-06-19,2093
2016-06-20,2284
2016-06-21,2500
2016-06-22,2614
2016-06-23,2845
2016-06-24,2945
2016-06-25,2333
2016-06-26,2024
2016-06-27,2229
2016-06-28,2401
2016-06-29,2662
2016-06-30,2782
2016-07-01,2755
2016-07-02,2315
2016-07-03,2145
2016-07-04,2255
2016-07-05,2486
2016-07-06,2611
2016-07-07,2796
2016-07-08,2743
2016-07-09,2316
2016-07-10,2207
2016-07-11,2312
2016-07-12,2505
2016-07-13,2667
2016-07-14,2892
2016-07-15,2887
2016-07-16,2413
2016-07-17,2188
2016-07-18,2354
2016-07-19,2579
2016-07-20,2767
2016-07-21,2925
2016-07-22,2978
2016-07-23,2478
2016-07-24,2313
2016-07-25,2491
2016-07-26,2728
2016-07-27,2924
2016-07-28,3134
2016-07-29,3113
2016-07-30,2638
